id	name	severity	status	how

01	rt_sigreturn+handlers	Blocker	filled	minimal rt_sigframe (pretcode+ucontext/mcontext gregs+siginfo); SYSRET→handler; SA_SIGINFO→rsi=&info rdx=&uc; restorer→rt_sigreturn; SA_ONSTACK; residual: no glibc fpstate, no nested CATCH

02	pipe-concurrency	Blocker	filled↑	coop pipe + AS-copy CR3; FORK_PARENT ignores exec_cr3; seq-fork uses vfork per stage (avoid dual AS-copy pt_idx>=1 wedge on ls|grep); AS-copy EAGAIN if live>=1; KEEP_INPROC=0

03	per-process-fd	Blocker	filled	fd+cloexec+dup_save snaps on coop switch; OFD release honors parked snaps; parent-first fork; FD mutations isolated

04	SIGCHLD-deliver	High	filled	pending bit + sigpending; wait still primary

05	SIGINT-ctrlc	High	filled	ISIG+VINTR raises SIGINT; CATCH→handler; DFL+coop child→WIFSIGNALED; DFL+interactive ash→shell reenter; soft VSUSP→SIGTSTP tracked under H07

06	background-jobs	Blocker	filled	ash cmd& = vfork+exec; dual-live; STOPPED+WUNTRACED; kill stop/cont; /dev/tty alias+NB; setpgid syncs tty_pgrp; residual: ash fg UX polish only

07	tty-stop-signals	High	filled	/dev/tty OFD+forced NB (EAGAIN empty); controlling tty=fds 0/1/2+/dev/tty; TIOCGPGRP/TIOCSPGRP; coop TTIN/TTOU soft; shell never bg; P8_TTY opens /dev/tty

08	writable-beyond-tmp	High	filled	/var+/home+/persist writable vfile NS; P8_PERSIST

09	select-pselect	Medium	filled	select→poll bridge; P8_SELECT

10	pread-pwrite	Medium	filled	pread64/pwrite64; P8_PREAD

11	file-mmap	Medium	filled	/tmp vfile mmap → anon copy; P8_MMAP

12	SIGPIPE	Medium	filled	EPIPE on rd_open==0; P8_SIGPIPE

13	alarm-setitimer	Medium	filled	pending SIGALRM; nanosleep EINTR; P8_ALARM

14	AF_UNIX	Medium	filled	pipe-backed pathname sockets; poll/epoll listen+connected via sock_ready_mask; P8_UNIX

15	nr200-flock-fsync	Low	filled	tkill/tgkill/robust_list/flock/fsync/dup3/getsid/readv

16	sigprocmask-real	Medium	filled	mask stored; P8_SIGMASK

17	sigaltstack-etc	Low	filled	rt_sigsuspend until pending→EINTR; real sigaltstack ss_sp/ss_size/ss_flags; CATCH SA_ONSTACK uses alt stack; SS_AUTODISARM accepted not enforced

18	getsid	Low	filled	via 15; P8_MISC

19	mremap	Low	filled	Linux NR25 wired; returns EINVAL (musl realloc fallback)

20	futex-block	Medium	filled	WAIT+timeout→ETIMEDOUT; untimed: coop yield + 4-slot waiter queue; FUTEX_WAKE wakes matching slots; Qt clear-*uaddr fallback

21	timerfd-linux-nr	Low	filled	283/286/287 → existing timerfd path if any else stub

22	clock_getres	Low	filled	229; P8_MISC

23	readv	Low	filled	via 15

24	pathname-unix-quality	Low	filled	AF_UNIX bind/connect/accept moves bytes

25	multi-pgid-jobs	Medium	filled	wait/waitid P_PGID + setpgid; 8-slot zombies; kill(-pg) ESRCH via pgid_has_member; waitid(P_PGID,0)↔tty_self_pgid; shell setpgid(0) updates g_guest_pgid+tty_pgrp together; multi-live via H02

26	CLONE_THREAD	Medium	filled	CLONE_THREAD|CLONE_VM gate→bfree_guest_thread_clone (serial run-to-exit); SETTLS+tid/cleartid; gettid/set_tid_address; residual: no preemptive parallel threads (→P3)

27	blocking-wait-live	Medium	filled	wait+waitid yield to parked child; wait4 live→0 not ECHILD; multi-zombie oldest-pid reap (same 8-slot table as H25); multi-live=2 via H02

28	nofork-gate-meta	Blocker	filled	BFREE_NOFORK_ALL=0; KEEP_INPROC=0 + seq-fork + pipe-scoped AS-copy; quality+pty smoke+phase3 ALL PASS; dual-live tracked under H02/H06

29	fcntl-cloexec	High	filled	F_GETFD/SETFD/SETFL; open/pipe2/dup3 CLOEXEC; P9_CLOEXEC

30	pty-minimal	High	filled	/dev/ptmx+/dev/pts/N; TIOCGPTN; P9_PTY

31	posix-creds	Medium	filled	setuid/getuid; chown/fchown; vfile uid+DAC on open (root bypass); P9_UID

32	af-inet	Blocker	filled	loopback + 10.0.2.0/24 slirp-style guest bind/connect (pipe stack); poll/epoll; /etc/hosts + stub /etc/resolv.conf (no UDP DNS); p8test P8_INET+P8_SLIRP; no real NIC
